fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,winetype,quality
7.400000,0.700000,0.000000,1.900000,0.076000,11,34,0.997800,3.510000,0.560000,9.400000,"red",5
7.800000,0.880000,0.000000,2.600000,0.098000,25,67,0.996800,3.200000,0.680000,9.800000,"red",5
7.800000,0.760000,0.040000,2.300000,0.092000,15,54,0.997000,3.260000,0.650000,9.800000,"red",5
11.200000,0.280000,0.560000,1.900000,0.075000,17,60,0.998000,3.160000,0.580000,9.800000,"red",6
7.400000,0.700000,0.000000,1.900000,0.076000,11,34,0.997800,3.510000,0.560000,9.400000,"red",5
7.400000,0.660000,0.000000,1.800000,0.075000,13,40,0.997800,3.510000,0.560000,9.400000,"red",5
7.900000,0.600000,0.060000,1.600000,0.069000,15,59,0.996400,3.300000,0.460000,9.400000,"red",5
7.300000,0.650000,0.000000,1.200000,0.065000,15,21,0.994600,3.390000,0.470000,10.000000,"red",7
7.800000,0.580000,0.020000,2.000000,0.073000,9,18,0.996800,3.360000,0.570000,9.500000,"red",7
7.500000,0.500000,0.360000,6.100000,0.071000,17,102,0.997800,3.350000,0.800000,10.500000,"red",5
6.700000,0.580000,0.080000,1.800000,0.097000,15,65,0.995900,3.280000,0.540000,9.200000,"red",5
7.500000,0.500000,0.360000,6.100000,0.071000,17,102,0.997800,3.350000,0.800000,10.500000,"red",5
5.600000,0.615000,0.000000,1.600000,0.089000,16,59,0.994300,3.580000,0.520000,9.900000,"red",5
7.800000,0.610000,0.290000,1.600000,0.114000,9,29,0.997400,3.260000,1.560000,9.100000,"red",5
8.900000,0.620000,0.180000,3.800000,0.176000,52,145,0.998600,3.160000,0.880000,9.200000,"red",5
8.900000,0.620000,0.190000,3.900000,0.170000,51,148,0.998600,3.170000,0.930000,9.200000,"red",5
8.500000,0.280000,0.560000,1.800000,0.092000,35,103,0.996900,3.300000,0.750000,10.500000,"red",7
8.100000,0.560000,0.280000,1.700000,0.368000,16,56,0.996800,3.110000,1.280000,9.300000,"red",5
7.400000,0.590000,0.080000,4.400000,0.086000,6,29,0.997400,3.380000,0.500000,9.000000,"red",4
7.900000,0.320000,0.510000,1.800000,0.341000,17,56,0.996900,3.040000,1.080000,9.200000,"red",6
8.900000,0.220000,0.480000,1.800000,0.077000,29,60,0.996800,3.390000,0.530000,9.400000,"red",6
7.600000,0.390000,0.310000,2.300000,0.082000,23,71,0.998200,3.520000,0.650000,9.700000,"red",5
7.900000,0.430000,0.210000,1.600000,0.106000,10,37,0.996600,3.170000,0.910000,9.500000,"red",5
8.500000,0.490000,0.110000,2.300000,0.084000,9,67,0.996800,3.170000,0.530000,9.400000,"red",5
6.900000,0.400000,0.140000,2.400000,0.085000,21,40,0.996800,3.430000,0.630000,9.700000,"red",6
6.300000,0.390000,0.160000,1.400000,0.080000,11,23,0.995500,3.340000,0.560000,9.300000,"red",5
7.600000,0.410000,0.240000,1.800000,0.080000,4,11,0.996200,3.280000,0.590000,9.500000,"red",5
7.900000,0.430000,0.210000,1.600000,0.106000,10,37,0.996600,3.170000,0.910000,9.500000,"red",5
7.100000,0.710000,0.000000,1.900000,0.080000,14,35,0.997200,3.470000,0.550000,9.400000,"red",5
7.800000,0.645000,0.000000,2.000000,0.082000,8,16,0.996400,3.380000,0.590000,9.800000,"red",6
6.700000,0.675000,0.070000,2.400000,0.089000,17,82,0.995800,3.350000,0.540000,10.100000,"red",5
6.900000,0.685000,0.000000,2.500000,0.105000,22,37,0.996600,3.460000,0.570000,10.600000,"red",6
8.300000,0.655000,0.120000,2.300000,0.083000,15,113,0.996600,3.170000,0.660000,9.800000,"red",5
6.900000,0.605000,0.120000,10.700000,0.073000,40,83,0.999300,3.450000,0.520000,9.400000,"red",6
5.200000,0.320000,0.250000,1.800000,0.103000,13,50,0.995700,3.380000,0.550000,9.200000,"red",5
7.800000,0.645000,0.000000,5.500000,0.086000,5,18,0.998600,3.400000,0.550000,9.600000,"red",6
7.800000,0.600000,0.140000,2.400000,0.086000,3,15,0.997500,3.420000,0.600000,10.800000,"red",6
8.100000,0.380000,0.280000,2.100000,0.066000,13,30,0.996800,3.230000,0.730000,9.700000,"red",7
5.700000,1.130000,0.090000,1.500000,0.172000,7,19,0.994000,3.500000,0.480000,9.800000,"red",4
7.300000,0.450000,0.360000,5.900000,0.074000,12,87,0.997800,3.330000,0.830000,10.500000,"red",5
7.300000,0.450000,0.360000,5.900000,0.074000,12,87,0.997800,3.330000,0.830000,10.500000,"red",5
8.800000,0.610000,0.300000,2.800000,0.088000,17,46,0.997600,3.260000,0.510000,9.300000,"red",4
7.500000,0.490000,0.200000,2.600000,0.332000,8,14,0.996800,3.210000,0.900000,10.500000,"red",6
8.100000,0.660000,0.220000,2.200000,0.069000,9,23,0.996800,3.300000,1.200000,10.300000,"red",5
6.800000,0.670000,0.020000,1.800000,0.050000,5,11,0.996200,3.480000,0.520000,9.500000,"red",5
4.600000,0.520000,0.150000,2.100000,0.054000,8,65,0.993400,3.900000,0.560000,13.100000,"red",4
7.700000,0.935000,0.430000,2.200000,0.114000,22,114,0.997000,3.250000,0.730000,9.200000,"red",5
8.700000,0.290000,0.520000,1.600000,0.113000,12,37,0.996900,3.250000,0.580000,9.500000,"red",5
6.400000,0.400000,0.230000,1.600000,0.066000,5,12,0.995800,3.340000,0.560000,9.200000,"red",5
5.600000,0.310000,0.370000,1.400000,0.074000,12,96,0.995400,3.320000,0.580000,9.200000,"red",5
8.800000,0.660000,0.260000,1.700000,0.074000,4,23,0.997100,3.150000,0.740000,9.200000,"red",5
6.600000,0.520000,0.040000,2.200000,0.069000,8,15,0.995600,3.400000,0.630000,9.400000,"red",6
6.600000,0.500000,0.040000,2.100000,0.068000,6,14,0.995500,3.390000,0.640000,9.400000,"red",6
8.600000,0.380000,0.360000,3.000000,0.081000,30,119,0.997000,3.200000,0.560000,9.400000,"red",5
7.600000,0.510000,0.150000,2.800000,0.110000,33,73,0.995500,3.170000,0.630000,10.200000,"red",6
7.700000,0.620000,0.040000,3.800000,0.084000,25,45,0.997800,3.340000,0.530000,9.500000,"red",5
10.200000,0.420000,0.570000,3.400000,0.070000,4,10,0.997100,3.040000,0.630000,9.600000,"red",5
7.500000,0.630000,0.120000,5.100000,0.111000,50,110,0.998300,3.260000,0.770000,9.400000,"red",5
7.800000,0.590000,0.180000,2.300000,0.076000,17,54,0.997500,3.430000,0.590000,10.000000,"red",5
7.300000,0.390000,0.310000,2.400000,0.074000,9,46,0.996200,3.410000,0.540000,9.400000,"red",6
8.800000,0.400000,0.400000,2.200000,0.079000,19,52,0.998000,3.440000,0.640000,9.200000,"red",5
7.700000,0.690000,0.490000,1.800000,0.115000,20,112,0.996800,3.210000,0.710000,9.300000,"red",5
7.500000,0.520000,0.160000,1.900000,0.085000,12,35,0.996800,3.380000,0.620000,9.500000,"red",7
7.000000,0.735000,0.050000,2.000000,0.081000,13,54,0.996600,3.390000,0.570000,9.800000,"red",5
7.200000,0.725000,0.050000,4.650000,0.086000,4,11,0.996200,3.410000,0.390000,10.900000,"red",5
7.200000,0.725000,0.050000,4.650000,0.086000,4,11,0.996200,3.410000,0.390000,10.900000,"red",5
7.500000,0.520000,0.110000,1.500000,0.079000,11,39,0.996800,3.420000,0.580000,9.600000,"red",5
6.600000,0.705000,0.070000,1.600000,0.076000,6,15,0.996200,3.440000,0.580000,10.700000,"red",5
9.300000,0.320000,0.570000,2.000000,0.074000,27,65,0.996900,3.280000,0.790000,10.700000,"red",5
8.000000,0.705000,0.050000,1.900000,0.074000,8,19,0.996200,3.340000,0.950000,10.500000,"red",6
7.700000,0.630000,0.080000,1.900000,0.076000,15,27,0.996700,3.320000,0.540000,9.500000,"red",6
7.700000,0.670000,0.230000,2.100000,0.088000,17,96,0.996200,3.320000,0.480000,9.500000,"red",5
7.700000,0.690000,0.220000,1.900000,0.084000,18,94,0.996100,3.310000,0.480000,9.500000,"red",5
8.300000,0.675000,0.260000,2.100000,0.084000,11,43,0.997600,3.310000,0.530000,9.200000,"red",4
9.700000,0.320000,0.540000,2.500000,0.094000,28,83,0.998400,3.280000,0.820000,9.600000,"red",5
8.800000,0.410000,0.640000,2.200000,0.093000,9,42,0.998600,3.540000,0.660000,10.500000,"red",5
8.800000,0.410000,0.640000,2.200000,0.093000,9,42,0.998600,3.540000,0.660000,10.500000,"red",5
6.800000,0.785000,0.000000,2.400000,0.104000,14,30,0.996600,3.520000,0.550000,10.700000,"red",6
6.700000,0.750000,0.120000,2.000000,0.086000,12,80,0.995800,3.380000,0.520000,10.100000,"red",5
8.300000,0.625000,0.200000,1.500000,0.080000,27,119,0.997200,3.160000,1.120000,9.100000,"red",4
6.200000,0.450000,0.200000,1.600000,0.069000,3,15,0.995800,3.410000,0.560000,9.200000,"red",5
7.800000,0.430000,0.700000,1.900000,0.464000,22,67,0.997400,3.130000,1.280000,9.400000,"red",5
7.400000,0.500000,0.470000,2.000000,0.086000,21,73,0.997000,3.360000,0.570000,9.100000,"red",5
7.300000,0.670000,0.260000,1.800000,0.401000,16,51,0.996900,3.160000,1.140000,9.400000,"red",5
6.300000,0.300000,0.480000,1.800000,0.069000,18,61,0.995900,3.440000,0.780000,10.300000,"red",6
6.900000,0.550000,0.150000,2.200000,0.076000,19,40,0.996100,3.410000,0.590000,10.100000,"red",5
8.600000,0.490000,0.280000,1.900000,0.110000,20,136,0.997200,2.930000,1.950000,9.900000,"red",6
7.700000,0.490000,0.260000,1.900000,0.062000,9,31,0.996600,3.390000,0.640000,9.600000,"red",5
9.300000,0.390000,0.440000,2.100000,0.107000,34,125,0.997800,3.140000,1.220000,9.500000,"red",5
7.000000,0.620000,0.080000,1.800000,0.076000,8,24,0.997800,3.480000,0.530000,9.000000,"red",5
7.900000,0.520000,0.260000,1.900000,0.079000,42,140,0.996400,3.230000,0.540000,9.500000,"red",5
8.600000,0.490000,0.280000,1.900000,0.110000,20,136,0.997200,2.930000,1.950000,9.900000,"red",6
8.600000,0.490000,0.290000,2.000000,0.110000,19,133,0.997200,2.930000,1.980000,9.800000,"red",5
7.700000,0.490000,0.260000,1.900000,0.062000,9,31,0.996600,3.390000,0.640000,9.600000,"red",5
5.000000,1.020000,0.040000,1.400000,0.045000,41,85,0.993800,3.750000,0.480000,10.500000,"red",4
4.700000,0.600000,0.170000,2.300000,0.058000,17,106,0.993200,3.850000,0.600000,12.900000,"red",6
6.800000,0.775000,0.000000,3.000000,0.102000,8,23,0.996500,3.450000,0.560000,10.700000,"red",5
7.000000,0.500000,0.250000,2.000000,0.070000,3,22,0.996300,3.250000,0.630000,9.200000,"red",5
7.600000,0.900000,0.060000,2.500000,0.079000,5,10,0.996700,3.390000,0.560000,9.800000,"red",5
8.100000,0.545000,0.180000,1.900000,0.080000,13,35,0.997200,3.300000,0.590000,9.000000,"red",6
8.300000,0.610000,0.300000,2.100000,0.084000,11,50,0.997200,3.400000,0.610000,10.200000,"red",6
7.800000,0.500000,0.300000,1.900000,0.075000,8,22,0.995900,3.310000,0.560000,10.400000,"red",6
8.100000,0.545000,0.180000,1.900000,0.080000,13,35,0.997200,3.300000,0.590000,9.000000,"red",6
8.100000,0.575000,0.220000,2.100000,0.077000,12,65,0.996700,3.290000,0.510000,9.200000,"red",5
7.200000,0.490000,0.240000,2.200000,0.070000,5,36,0.996000,3.330000,0.480000,9.400000,"red",5
8.100000,0.575000,0.220000,2.100000,0.077000,12,65,0.996700,3.290000,0.510000,9.200000,"red",5
7.800000,0.410000,0.680000,1.700000,0.467000,18,69,0.997300,3.080000,1.310000,9.300000,"red",5
6.200000,0.630000,0.310000,1.700000,0.088000,15,64,0.996900,3.460000,0.790000,9.300000,"red",5
8.000000,0.330000,0.530000,2.500000,0.091000,18,80,0.997600,3.370000,0.800000,9.600000,"red",6
8.100000,0.785000,0.520000,2.000000,0.122000,37,153,0.996900,3.210000,0.690000,9.300000,"red",5
7.800000,0.560000,0.190000,1.800000,0.104000,12,47,0.996400,3.190000,0.930000,9.500000,"red",5
8.400000,0.620000,0.090000,2.200000,0.084000,11,108,0.996400,3.150000,0.660000,9.800000,"red",5
8.400000,0.600000,0.100000,2.200000,0.085000,14,111,0.996400,3.150000,0.660000,9.800000,"red",5
10.100000,0.310000,0.440000,2.300000,0.080000,22,46,0.998800,3.320000,0.670000,9.700000,"red",6
7.800000,0.560000,0.190000,1.800000,0.104000,12,47,0.996400,3.190000,0.930000,9.500000,"red",5
9.400000,0.400000,0.310000,2.200000,0.090000,13,62,0.996600,3.070000,0.630000,10.500000,"red",6
8.300000,0.540000,0.280000,1.900000,0.077000,11,40,0.997800,3.390000,0.610000,10.000000,"red",6
7.800000,0.560000,0.120000,2.000000,0.082000,7,28,0.997000,3.370000,0.500000,9.400000,"red",6
8.800000,0.550000,0.040000,2.200000,0.119000,14,56,0.996200,3.210000,0.600000,10.900000,"red",6
7.000000,0.690000,0.080000,1.800000,0.097000,22,89,0.995900,3.340000,0.540000,9.200000,"red",6
7.300000,1.070000,0.090000,1.700000,0.178000,10,89,0.996200,3.300000,0.570000,9.000000,"red",5
8.800000,0.550000,0.040000,2.200000,0.119000,14,56,0.996200,3.210000,0.600000,10.900000,"red",6
7.300000,0.695000,0.000000,2.500000,0.075000,3,13,0.998000,3.490000,0.520000,9.200000,"red",5
8.000000,0.710000,0.000000,2.600000,0.080000,11,34,0.997600,3.440000,0.530000,9.500000,"red",5
7.800000,0.500000,0.170000,1.600000,0.082000,21,102,0.996000,3.390000,0.480000,9.500000,"red",5
9.000000,0.620000,0.040000,1.900000,0.146000,27,90,0.998400,3.160000,0.700000,9.400000,"red",5
8.200000,1.330000,0.000000,1.700000,0.081000,3,12,0.996400,3.530000,0.490000,10.900000,"red",5
8.100000,1.330000,0.000000,1.800000,0.082000,3,12,0.996400,3.540000,0.480000,10.900000,"red",5
8.000000,0.590000,0.160000,1.800000,0.065000,3,16,0.996200,3.420000,0.920000,10.500000,"red",7
6.100000,0.380000,0.150000,1.800000,0.072000,6,19,0.995500,3.420000,0.570000,9.400000,"red",5
8.000000,0.745000,0.560000,2.000000,0.118000,30,134,0.996800,3.240000,0.660000,9.400000,"red",5
5.600000,0.500000,0.090000,2.300000,0.049000,17,99,0.993700,3.630000,0.630000,13.000000,"red",5
5.600000,0.500000,0.090000,2.300000,0.049000,17,99,0.993700,3.630000,0.630000,13.000000,"red",5
6.600000,0.500000,0.010000,1.500000,0.060000,17,26,0.995200,3.400000,0.580000,9.800000,"red",6
7.900000,1.040000,0.050000,2.200000,0.084000,13,29,0.995900,3.220000,0.550000,9.900000,"red",6
8.400000,0.745000,0.110000,1.900000,0.090000,16,63,0.996500,3.190000,0.820000,9.600000,"red",5
8.300000,0.715000,0.150000,1.800000,0.089000,10,52,0.996800,3.230000,0.770000,9.500000,"red",5
